The following synthetic operations ledger is a project-authored retrieval and summarization fixture. Every record is authoritative for this prompt. Read the complete ledger before answering; do not use outside facts.

Record 00001: station Birch; shipment code LONGCTX-00001-07919; marker green; quantity 170; observed delay 13 minutes; validation state accepted.
Record 00028: station Elm; shipment code LONGCTX-00028-21732; marker indigo; quantity 86; observed delay 35 minutes; validation state accepted.
Record 00029: station Fir; shipment code LONGCTX-00029-29651; marker white; quantity 183; observed delay 1 minutes; validation state accepted.
Record 00030: station Grove; shipment code LONGCTX-00030-37570; marker copper; quantity 280; observed delay 14 minutes; validation state accepted.
Record 00031: station Hazel; shipment code LONGCTX-00031-45489; marker silver; quantity 377; observed delay 27 minutes; validation state accepted.
Record 00032: station Alder; shipment code LONGCTX-00032-53408; marker amber; quantity 474; observed delay 40 minutes; validation state accepted.
Record 00033: station Birch; shipment code LONGCTX-00033-61327; marker green; quantity 571; observed delay 6 minutes; validation state accepted.
Record 00034: station Cedar; shipment code LONGCTX-00034-69246; marker violet; quantity 668; observed delay 19 minutes; validation state accepted.
Record 00035: station Dogwood; shipment code LONGCTX-00035-77165; marker blue; quantity 765; observed delay 32 minutes; validation state accepted.
Record 00036: station Elm; shipment code LONGCTX-00036-85084; marker indigo; quantity 862; observed delay 45 minutes; validation state accepted.
Record 00037: station Fir; shipment code LONGCTX-00037-93003; marker white; quantity 959; observed delay 11 minutes; validation state accepted.
Record 00038: station Grove; shipment code LONGCTX-00038-00922; marker copper; quantity 155; observed delay 24 minutes; validation state accepted.
Record 00039: station Hazel; shipment code LONGCTX-00039-08841; marker silver; quantity 252; observed delay 37 minutes; validation state accepted.
Record 00040: station Alder; shipment code LONGCTX-00040-16760; marker amber; quantity 349; observed delay 3 minutes; validation state accepted.
Record 00041: station Birch; shipment code LONGCTX-00041-24679; marker green; quantity 446; observed delay 16 minutes; validation state accepted.
Record 00042: station Cedar; shipment code LONGCTX-00042-32598; marker violet; quantity 543; observed delay 29 minutes; validation state accepted.
Record 00043: station Dogwood; shipment code LONGCTX-00043-40517; marker blue; quantity 640; observed delay 42 minutes; validation state accepted.
Record 00044: station Elm; shipment code LONGCTX-00044-48436; marker indigo; quantity 737; observed delay 8 minutes; validation state accepted.
Record 00045: station Fir; shipment code LONGCTX-00045-56355; marker white; quantity 834; observed delay 21 minutes; validation state accepted.
Record 00046: station Grove; shipment code LONGCTX-00046-64274; marker copper; quantity 931; observed delay 34 minutes; validation state accepted.
Record 00047: station Hazel; shipment code LONGCTX-00047-72193; marker silver; quantity 127; observed delay 0 minutes; validation state accepted.
Record 00048: station Alder; shipment code LONGCTX-00048-80112; marker amber; quantity 224; observed delay 13 minutes; validation state accepted.
Record 00049: station Birch; shipment code LONGCTX-00049-88031; marker green; quantity 321; observed delay 26 minutes; validation state accepted.
Record 00050: station Cedar; shipment code LONGCTX-00050-95950; marker violet; quantity 418; observed delay 39 minutes; validation state accepted.
Record 00051: station Dogwood; shipment code LONGCTX-00051-03869; marker blue; quantity 515; observed delay 5 minutes; validation state accepted.
Record 00052: station Elm; shipment code LONGCTX-00052-11788; marker indigo; quantity 612; observed delay 18 minutes; validation state accepted.
Record 00053: station Fir; shipment code LONGCTX-00053-19707; marker white; quantity 709; observed delay 31 minutes; validation state accepted.
Record 00054: station Grove; shipment code LONGCTX-00054-27626; marker copper; quantity 806; observed delay 44 minutes; validation state accepted.
Record 00055: station Hazel; shipment code LONGCTX-00055-35545; marker silver; quantity 903; observed delay 10 minutes; validation state accepted.
Record 00056: station Alder; shipment code LONGCTX-00056-43464; marker amber; quantity 99; observed delay 23 minutes; validation state accepted.
Record 00057: station Birch; shipment code LONGCTX-00057-51383; marker green; quantity 196; observed delay 36 minutes; validation state accepted.
Record 00058: station Cedar; shipment code LONGCTX-00058-59302; marker violet; quantity 293; observed delay 2 minutes; validation state accepted.
Record 00059: station Dogwood; shipment code LONGCTX-00059-67221; marker blue; quantity 390; observed delay 15 minutes; validation state accepted.
Record 00060: station Elm; shipment code LONGCTX-00060-75140; marker indigo; quantity 487; observed delay 28 minutes; validation state accepted.
Record 00061: station Fir; shipment code LONGCTX-00061-83059; marker white; quantity 584; observed delay 41 minutes; validation state accepted.
Record 00062: station Grove; shipment code LONGCTX-00062-90978; marker copper; quantity 681; observed delay 7 minutes; validation state accepted.
Record 00063: station Hazel; shipment code LONGCTX-00063-98897; marker silver; quantity 778; observed delay 20 minutes; validation state accepted.
Record 00064: station Alder; shipment code LONGCTX-00064-06816; marker amber; quantity 875; observed delay 33 minutes; validation state accepted.
Record 00065: station Birch; shipment code LONGCTX-00065-14735; marker green; quantity 972; observed delay 46 minutes; validation state accepted.
Record 00066: station Cedar; shipment code LONGCTX-00066-22654; marker violet; quantity 168; observed delay 12 minutes; validation state accepted.
Record 00067: station Dogwood; shipment code LONGCTX-00067-30573; marker blue; quantity 265; observed delay 25 minutes; validation state accepted.
Record 00068: station Elm; shipment code LONGCTX-00068-38492; marker indigo; quantity 362; observed delay 38 minutes; validation state accepted.
Record 00069: station Fir; shipment code LONGCTX-00069-46411; marker white; quantity 459; observed delay 4 minutes; validation state accepted.
Record 00070: station Grove; shipment code LONGCTX-00070-54330; marker copper; quantity 556; observed delay 17 minutes; validation state accepted.
Record 00071: station Hazel; shipment code LONGCTX-00071-62249; marker silver; quantity 653; observed delay 30 minutes; validation state accepted.
Record 00072: station Alder; shipment code LONGCTX-00072-70168; marker amber; quantity 750; observed delay 43 minutes; validation state accepted.
Record 00073: station Birch; shipment code LONGCTX-00073-78087; marker green; quantity 847; observed delay 9 minutes; validation state accepted.
Record 00074: station Cedar; shipment code LONGCTX-00074-86006; marker violet; quantity 944; observed delay 22 minutes; validation state accepted.
Record 00075: station Dogwood; shipment code LONGCTX-00075-93925; marker blue; quantity 140; observed delay 35 minutes; validation state accepted.
Record 00076: station Elm; shipment code LONGCTX-00076-01844; marker indigo; quantity 237; observed delay 1 minutes; validation state accepted.
Record 00077: station Fir; shipment code LONGCTX-00077-09763; marker white; quantity 334; observed delay 14 minutes; validation state accepted.
Record 00078: station Grove; shipment code LONGCTX-00078-17682; marker copper; quantity 431; observed delay 27 minutes; validation state accepted.
Record 00079: station Hazel; shipment code LONGCTX-00079-25601; marker silver; quantity 528; observed delay 40 minutes; validation state accepted.
Record 00080: station Alder; shipment code LONGCTX-00080-33520; marker amber; quantity 625; observed delay 6 minutes; validation state accepted.
Record 00081: station Birch; shipment code LONGCTX-00081-41439; marker green; quantity 722; observed delay 19 minutes; validation state accepted.
Record 00082: station Cedar; shipment code LONGCTX-00082-49358; marker violet; quantity 819; observed delay 32 minutes; validation state accepted.
Record 00083: station Dogwood; shipment code LONGCTX-00083-57277; marker blue; quantity 916; observed delay 45 minutes; validation state accepted.
Record 00084: station Elm; shipment code LONGCTX-00084-65196; marker indigo; quantity 112; observed delay 11 minutes; validation state accepted.
Record 00085: station Fir; shipment code LONGCTX-00085-73115; marker white; quantity 209; observed delay 24 minutes; validation state accepted.
Record 00086: station Grove; shipment code LONGCTX-00086-81034; marker copper; quantity 306; observed delay 37 minutes; validation state accepted.
Record 00087: station Hazel; shipment code LONGCTX-00087-88953; marker silver; quantity 403; observed delay 3 minutes; validation state accepted.
Record 00088: station Alder; shipment code LONGCTX-00088-96872; marker amber; quantity 500; observed delay 16 minutes; validation state accepted.
Record 00089: station Birch; shipment code LONGCTX-00089-04791; marker green; quantity 597; observed delay 29 minutes; validation state accepted.
Record 00090: station Cedar; shipment code LONGCTX-00090-12710; marker violet; quantity 694; observed delay 42 minutes; validation state accepted.
Record 00091: station Dogwood; shipment code LONGCTX-00091-20629; marker blue; quantity 791; observed delay 8 minutes; validation state accepted.
Record 00092: station Elm; shipment code LONGCTX-00092-28548; marker indigo; quantity 888; observed delay 21 minutes; validation state accepted.
Record 00093: station Fir; shipment code LONGCTX-00093-36467; marker white; quantity 84; observed delay 34 minutes; validation state accepted.
Record 00094: station Grove; shipment code LONGCTX-00094-44386; marker copper; quantity 181; observed delay 0 minutes; validation state accepted.
Record 00095: station Hazel; shipment code LONGCTX-00095-52305; marker silver; quantity 278; observed delay 13 minutes; validation state accepted.
Record 00096: station Alder; shipment code LONGCTX-00096-60224; marker amber; quantity 375; observed delay 26 minutes; validation state accepted.
Record 00097: station Birch; shipment code LONGCTX-00097-68143; marker green; quantity 472; observed delay 39 minutes; validation state accepted.
Record 00098: station Cedar; shipment code LONGCTX-00098-76062; marker violet; quantity 569; observed delay 5 minutes; validation state accepted.
Record 00099: station Dogwood; shipment code LONGCTX-00099-83981; marker blue; quantity 666; observed delay 18 minutes; validation state accepted.
Record 00100: station Elm; shipment code LONGCTX-00100-91900; marker indigo; quantity 763; observed delay 31 minutes; validation state accepted.
Record 00101: station Fir; shipment code LONGCTX-00101-99819; marker white; quantity 860; observed delay 44 minutes; validation state accepted.
Record 00102: station Grove; shipment code LONGCTX-00102-07738; marker copper; quantity 957; observed delay 10 minutes; validation state accepted.
Record 00103: station Hazel; shipment code LONGCTX-00103-15657; marker silver; quantity 153; observed delay 23 minutes; validation state accepted.
Record 00104: station Alder; shipment code LONGCTX-00104-23576; marker amber; quantity 250; observed delay 36 minutes; validation state accepted.
Record 00105: station Birch; shipment code LONGCTX-00105-31495; marker green; quantity 347; observed delay 2 minutes; validation state accepted.
Record 00106: station Cedar; shipment code LONGCTX-00106-39414; marker violet; quantity 444; observed delay 15 minutes; validation state accepted.
Record 00107: station Dogwood; shipment code LONGCTX-00107-47333; marker blue; quantity 541; observed delay 28 minutes; validation state accepted.
Record 00108: station Elm; shipment code LONGCTX-00108-55252; marker indigo; quantity 638; observed delay 41 minutes; validation state accepted.
Record 00109: station Fir; shipment code LONGCTX-00109-63171; marker white; quantity 735; observed delay 7 minutes; validation state accepted.
Record 00110: station Grove; shipment code LONGCTX-00110-71090; marker copper; quantity 832; observed delay 20 minutes; validation state accepted.
Record 00111: station Hazel; shipment code LONGCTX-00111-79009; marker silver; quantity 929; observed delay 33 minutes; validation state accepted.
Record 00112: station Alder; shipment code LONGCTX-00112-86928; marker amber; quantity 125; observed delay 46 minutes; validation state accepted.
Record 00113: station Birch; shipment code LONGCTX-00113-94847; marker green; quantity 222; observed delay 12 minutes; validation state accepted.
Record 00114: station Cedar; shipment code LONGCTX-00114-02766; marker violet; quantity 319; observed delay 25 minutes; validation state accepted.
Record 00115: station Dogwood; shipment code LONGCTX-00115-10685; marker blue; quantity 416; observed delay 38 minutes; validation state accepted.
Record 00116: station Elm; shipment code LONGCTX-00116-18604; marker indigo; quantity 513; observed delay 4 minutes; validation state accepted.
Record 00117: station Fir; shipment code LONGCTX-00117-26523; marker white; quantity 610; observed delay 17 minutes; validation state accepted.
Record 00118: station Grove; shipment code LONGCTX-00118-34442; marker copper; quantity 707; observed delay 30 minutes; validation state accepted.
Record 00119: station Hazel; shipment code LONGCTX-00119-42361; marker silver; quantity 804; observed delay 43 minutes; validation state accepted.
Record 00120: station Alder; shipment code LONGCTX-00120-50280; marker amber; quantity 901; observed delay 9 minutes; validation state accepted.
Record 00121: station Birch; shipment code LONGCTX-00121-58199; marker green; quantity 97; observed delay 22 minutes; validation state accepted.
Record 00122: station Cedar; shipment code LONGCTX-00122-66118; marker violet; quantity 194; observed delay 35 minutes; validation state accepted.
Record 00123: station Dogwood; shipment code LONGCTX-00123-74037; marker blue; quantity 291; observed delay 1 minutes; validation state accepted.
Record 00124: station Elm; shipment code LONGCTX-00124-81956; marker indigo; quantity 388; observed delay 14 minutes; validation state accepted.
Record 00125: station Fir; shipment code LONGCTX-00125-89875; marker white; quantity 485; observed delay 27 minutes; validation state accepted.
Record 00126: station Grove; shipment code LONGCTX-00126-97794; marker copper; quantity 582; observed delay 40 minutes; validation state accepted.
Record 00127: station Hazel; shipment code LONGCTX-00127-05713; marker silver; quantity 679; observed delay 6 minutes; validation state accepted.
Record 00128: station Alder; shipment code LONGCTX-00128-13632; marker amber; quantity 776; observed delay 19 minutes; validation state accepted.
Record 00129: station Birch; shipment code LONGCTX-00129-21551; marker green; quantity 873; observed delay 32 minutes; validation state accepted.
Record 00130: station Cedar; shipment code LONGCTX-00130-29470; marker violet; quantity 970; observed delay 45 minutes; validation state accepted.
Record 00131: station Dogwood; shipment code LONGCTX-00131-37389; marker blue; quantity 166; observed delay 11 minutes; validation state accepted.
Record 00132: station Elm; shipment code LONGCTX-00132-45308; marker indigo; quantity 263; observed delay 24 minutes; validation state accepted.
Record 00133: station Fir; shipment code LONGCTX-00133-53227; marker white; quantity 360; observed delay 37 minutes; validation state accepted.
Record 00134: station Grove; shipment code LONGCTX-00134-61146; marker copper; quantity 457; observed delay 3 minutes; validation state accepted.
Record 00135: station Hazel; shipment code LONGCTX-00135-69065; marker silver; quantity 554; observed delay 16 minutes; validation state accepted.
Record 00136: station Alder; shipment code LONGCTX-00136-76984; marker amber; quantity 651; observed delay 29 minutes; validation state accepted.
Record 00137: station Birch; shipment code LONGCTX-00137-84903; marker green; quantity 748; observed delay 42 minutes; validation state accepted.
Record 00138: station Cedar; shipment code LONGCTX-00138-92822; marker violet; quantity 845; observed delay 8 minutes; validation state accepted.
Record 00139: station Dogwood; shipment code LONGCTX-00139-00741; marker blue; quantity 942; observed delay 21 minutes; validation state accepted.
Record 00140: station Elm; shipment code LONGCTX-00140-08660; marker indigo; quantity 138; observed delay 34 minutes; validation state accepted.
Record 00141: station Fir; shipment code LONGCTX-00141-16579; marker white; quantity 235; observed delay 0 minutes; validation state accepted.
Record 00142: station Grove; shipment code LONGCTX-00142-24498; marker copper; quantity 332; observed delay 13 minutes; validation state accepted.
Record 00143: station Hazel; shipment code LONGCTX-00143-32417; marker silver; quantity 429; observed delay 26 minutes; validation state accepted.
Record 00144: station Alder; shipment code LONGCTX-00144-40336; marker amber; quantity 526; observed delay 39 minutes; validation state accepted.
Record 00145: station Birch; shipment code LONGCTX-00145-48255; marker green; quantity 623; observed delay 5 minutes; validation state accepted.
Record 00146: station Cedar; shipment code LONGCTX-00146-56174; marker violet; quantity 720; observed delay 18 minutes; validation state accepted.
Record 00147: station Dogwood; shipment code LONGCTX-00147-64093; marker blue; quantity 817; observed delay 31 minutes; validation state accepted.
Record 00148: station Elm; shipment code LONGCTX-00148-72012; marker indigo; quantity 914; observed delay 44 minutes; validation state accepted.
Record 00149: station Fir; shipment code LONGCTX-00149-79931; marker white; quantity 110; observed delay 10 minutes; validation state accepted.
Record 00150: station Grove; shipment code LONGCTX-00150-87850; marker copper; quantity 207; observed delay 23 minutes; validation state accepted.
Record 00151: station Hazel; shipment code LONGCTX-00151-95769; marker silver; quantity 304; observed delay 36 minutes; validation state accepted.
Record 00152: station Alder; shipment code LONGCTX-00152-03688; marker amber; quantity 401; observed delay 2 minutes; validation state accepted.
Record 00153: station Birch; shipment code LONGCTX-00153-11607; marker green; quantity 498; observed delay 15 minutes; validation state accepted.
Record 00154: station Cedar; shipment code LONGCTX-00154-19526; marker violet; quantity 595; observed delay 28 minutes; validation state accepted.
Record 00155: station Dogwood; shipment code LONGCTX-00155-27445; marker blue; quantity 692; observed delay 41 minutes; validation state accepted.
Record 00156: station Elm; shipment code LONGCTX-00156-35364; marker indigo; quantity 789; observed delay 7 minutes; validation state accepted.
Record 00157: station Fir; shipment code LONGCTX-00157-43283; marker white; quantity 886; observed delay 20 minutes; validation state accepted.
Record 00158: station Grove; shipment code LONGCTX-00158-51202; marker copper; quantity 82; observed delay 33 minutes; validation state accepted.
Record 00159: station Hazel; shipment code LONGCTX-00159-59121; marker silver; quantity 179; observed delay 46 minutes; validation state accepted.
Record 00160: station Alder; shipment code LONGCTX-00160-67040; marker amber; quantity 276; observed delay 12 minutes; validation state accepted.
Record 00161: station Birch; shipment code LONGCTX-00161-74959; marker green; quantity 373; observed delay 25 minutes; validation state accepted.
Record 00162: station Cedar; shipment code LONGCTX-00162-82878; marker violet; quantity 470; observed delay 38 minutes; validation state accepted.
Record 00163: station Dogwood; shipment code LONGCTX-00163-90797; marker blue; quantity 567; observed delay 4 minutes; validation state accepted.
Record 00164: station Elm; shipment code LONGCTX-00164-98716; marker indigo; quantity 664; observed delay 17 minutes; validation state accepted.
Record 00165: station Fir; shipment code LONGCTX-00165-06635; marker white; quantity 761; observed delay 30 minutes; validation state accepted.
Record 00166: station Grove; shipment code LONGCTX-00166-14554; marker copper; quantity 858; observed delay 43 minutes; validation state accepted.
Record 00167: station Hazel; shipment code LONGCTX-00167-22473; marker silver; quantity 955; observed delay 9 minutes; validation state accepted.
Record 00168: station Alder; shipment code LONGCTX-00168-30392; marker amber; quantity 151; observed delay 22 minutes; validation state accepted.
Record 00169: station Birch; shipment code LONGCTX-00169-38311; marker green; quantity 248; observed delay 35 minutes; validation state accepted.
Record 00170: station Cedar; shipment code LONGCTX-00170-46230; marker violet; quantity 345; observed delay 1 minutes; validation state accepted.
Record 00171: station Dogwood; shipment code LONGCTX-00171-54149; marker blue; quantity 442; observed delay 14 minutes; validation state accepted.
Record 00172: station Elm; shipment code LONGCTX-00172-62068; marker indigo; quantity 539; observed delay 27 minutes; validation state accepted.
Record 00173: station Fir; shipment code LONGCTX-00173-69987; marker white; quantity 636; observed delay 40 minutes; validation state accepted.
Record 00174: station Grove; shipment code LONGCTX-00174-77906; marker copper; quantity 733; observed delay 6 minutes; validation state accepted.
Record 00175: station Hazel; shipment code LONGCTX-00175-85825; marker silver; quantity 830; observed delay 19 minutes; validation state accepted.
Record 00176: station Alder; shipment code LONGCTX-00176-93744; marker amber; quantity 927; observed delay 32 minutes; validation state accepted.
Record 00177: station Birch; shipment code LONGCTX-00177-01663; marker green; quantity 123; observed delay 45 minutes; validation state accepted.
Record 00178: station Cedar; shipment code LONGCTX-00178-09582; marker violet; quantity 220; observed delay 11 minutes; validation state accepted.
Record 00179: station Dogwood; shipment code LONGCTX-00179-17501; marker blue; quantity 317; observed delay 24 minutes; validation state accepted.
Record 00180: station Elm; shipment code LONGCTX-00180-25420; marker indigo; quantity 414; observed delay 37 minutes; validation state accepted.
Record 00181: station Fir; shipment code LONGCTX-00181-33339; marker white; quantity 511; observed delay 3 minutes; validation state accepted.
Record 00182: station Grove; shipment code LONGCTX-00182-41258; marker copper; quantity 608; observed delay 16 minutes; validation state accepted.
Record 00183: station Hazel; shipment code LONGCTX-00183-49177; marker silver; quantity 705; observed delay 29 minutes; validation state accepted.
Record 00184: station Alder; shipment code LONGCTX-00184-57096; marker amber; quantity 802; observed delay 42 minutes; validation state accepted.
Record 00185: station Birch; shipment code LONGCTX-00185-65015; marker green; quantity 899; observed delay 8 minutes; validation state accepted.
Record 00186: station Cedar; shipment code LONGCTX-00186-72934; marker violet; quantity 95; observed delay 21 minutes; validation state accepted.
Record 00187: station Dogwood; shipment code LONGCTX-00187-80853; marker blue; quantity 192; observed delay 34 minutes; validation state accepted.
Record 00188: station Elm; shipment code LONGCTX-00188-88772; marker indigo; quantity 289; observed delay 0 minutes; validation state accepted.
Record 00189: station Fir; shipment code LONGCTX-00189-96691; marker white; quantity 386; observed delay 13 minutes; validation state accepted.
Record 00190: station Grove; shipment code LONGCTX-00190-04610; marker copper; quantity 483; observed delay 26 minutes; validation state accepted.
Record 00191: station Hazel; shipment code LONGCTX-00191-12529; marker silver; quantity 580; observed delay 39 minutes; validation state accepted.
Record 00192: station Alder; shipment code LONGCTX-00192-20448; marker amber; quantity 677; observed delay 5 minutes; validation state accepted.
Record 00193: station Birch; shipment code LONGCTX-00193-28367; marker green; quantity 774; observed delay 18 minutes; validation state accepted.
Record 00194: station Cedar; shipment code LONGCTX-00194-36286; marker violet; quantity 871; observed delay 31 minutes; validation state accepted.
Record 00195: station Dogwood; shipment code LONGCTX-00195-44205; marker blue; quantity 968; observed delay 44 minutes; validation state accepted.
Record 00196: station Elm; shipment code LONGCTX-00196-52124; marker indigo; quantity 164; observed delay 10 minutes; validation state accepted.
Record 00197: station Fir; shipment code LONGCTX-00197-60043; marker white; quantity 261; observed delay 23 minutes; validation state accepted.
Record 00198: station Grove; shipment code LONGCTX-00198-67962; marker copper; quantity 358; observed delay 36 minutes; validation state accepted.
Record 00199: station Hazel; shipment code LONGCTX-00199-75881; marker silver; quantity 455; observed delay 2 minutes; validation state accepted.
Record 00200: station Alder; shipment code LONGCTX-00200-83800; marker amber; quantity 552; observed delay 15 minutes; validation state accepted.
Record 00201: station Birch; shipment code LONGCTX-00201-91719; marker green; quantity 649; observed delay 28 minutes; validation state accepted.
Record 00202: station Cedar; shipment code LONGCTX-00202-99638; marker violet; quantity 746; observed delay 41 minutes; validation state accepted.
Record 00203: station Dogwood; shipment code LONGCTX-00203-07557; marker blue; quantity 843; observed delay 7 minutes; validation state accepted.
Record 00204: station Elm; shipment code LONGCTX-00204-15476; marker indigo; quantity 940; observed delay 20 minutes; validation state accepted.
Record 00205: station Fir; shipment code LONGCTX-00205-23395; marker white; quantity 136; observed delay 33 minutes; validation state accepted.
Record 00206: station Grove; shipment code LONGCTX-00206-31314; marker copper; quantity 233; observed delay 46 minutes; validation state accepted.
Record 00207: station Hazel; shipment code LONGCTX-00207-39233; marker silver; quantity 330; observed delay 12 minutes; validation state accepted.
Record 00208: station Alder; shipment code LONGCTX-00208-47152; marker amber; quantity 427; observed delay 25 minutes; validation state accepted.
Record 00209: station Birch; shipment code LONGCTX-00209-55071; marker green; quantity 524; observed delay 38 minutes; validation state accepted.
Record 00210: station Cedar; shipment code LONGCTX-00210-62990; marker violet; quantity 621; observed delay 4 minutes; validation state accepted.
Record 00211: station Dogwood; shipment code LONGCTX-00211-70909; marker blue; quantity 718; observed delay 17 minutes; validation state accepted.
Record 00212: station Elm; shipment code LONGCTX-00212-78828; marker indigo; quantity 815; observed delay 30 minutes; validation state accepted.
Record 00213: station Fir; shipment code LONGCTX-00213-86747; marker white; quantity 912; observed delay 43 minutes; validation state accepted.
Record 00214: station Grove; shipment code LONGCTX-00214-94666; marker copper; quantity 108; observed delay 9 minutes; validation state accepted.
Record 00215: station Hazel; shipment code LONGCTX-00215-02585; marker silver; quantity 205; observed delay 22 minutes; validation state accepted.
Record 00216: station Alder; shipment code LONGCTX-00216-10504; marker amber; quantity 302; observed delay 35 minutes; validation state accepted.
Record 00217: station Birch; shipment code LONGCTX-00217-18423; marker green; quantity 399; observed delay 1 minutes; validation state accepted.
Record 00218: station Cedar; shipment code LONGCTX-00218-26342; marker violet; quantity 496; observed delay 14 minutes; validation state accepted.
Record 00219: station Dogwood; shipment code LONGCTX-00219-34261; marker blue; quantity 593; observed delay 27 minutes; validation state accepted.
Record 00220: station Elm; shipment code LONGCTX-00220-42180; marker indigo; quantity 690; observed delay 40 minutes; validation state accepted.
Record 00221: station Fir; shipment code LONGCTX-00221-50099; marker white; quantity 787; observed delay 6 minutes; validation state accepted.
Record 00222: station Grove; shipment code LONGCTX-00222-58018; marker copper; quantity 884; observed delay 19 minutes; validation state accepted.
Record 00223: station Hazel; shipment code LONGCTX-00223-65937; marker silver; quantity 80; observed delay 32 minutes; validation state accepted.
Record 00224: station Alder; shipment code LONGCTX-00224-73856; marker amber; quantity 177; observed delay 45 minutes; validation state accepted.
Record 00225: station Birch; shipment code LONGCTX-00225-81775; marker green; quantity 274; observed delay 11 minutes; validation state accepted.
Record 00226: station Cedar; shipment code LONGCTX-00226-89694; marker violet; quantity 371; observed delay 24 minutes; validation state accepted.
Record 00227: station Dogwood; shipment code LONGCTX-00227-97613; marker blue; quantity 468; observed delay 37 minutes; validation state accepted.
Record 00228: station Elm; shipment code LONGCTX-00228-05532; marker indigo; quantity 565; observed delay 3 minutes; validation state accepted.
Record 00229: station Fir; shipment code LONGCTX-00229-13451; marker white; quantity 662; observed delay 16 minutes; validation state accepted.
Record 00230: station Grove; shipment code LONGCTX-00230-21370; marker copper; quantity 759; observed delay 29 minutes; validation state accepted.
Record 00231: station Hazel; shipment code LONGCTX-00231-29289; marker silver; quantity 856; observed delay 42 minutes; validation state accepted.
Record 00232: station Alder; shipment code LONGCTX-00232-37208; marker amber; quantity 953; observed delay 8 minutes; validation state accepted.
Record 00233: station Birch; shipment code LONGCTX-00233-45127; marker green; quantity 149; observed delay 21 minutes; validation state accepted.
Record 00234: station Cedar; shipment code LONGCTX-00234-53046; marker violet; quantity 246; observed delay 34 minutes; validation state accepted.
Record 00235: station Dogwood; shipment code LONGCTX-00235-60965; marker blue; quantity 343; observed delay 0 minutes; validation state accepted.
Record 00236: station Elm; shipment code LONGCTX-00236-68884; marker indigo; quantity 440; observed delay 13 minutes; validation state accepted.
